run_id,coating_gap,position,frame_number,defect_ratio,moving_average,ewma,ucl,center,label_crack,label_delam,label_pinhole
R1,600,top-to-bottom-center,525,0.1,0.0752,0.0704,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,526,0.1286,0.08,0.0821,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,526,0.1429,0.0848,0.0942,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,526,0.0429,0.0829,0.0839,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,526,0.0429,0.081,0.0757,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,526,0.0571,0.081,0.072,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,526,0.1,0.0857,0.0776,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,526,0.1,0.0895,0.0821,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,526,0.1143,0.0829,0.0885,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,553,0.0857,0.08,0.088,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,553,0.0429,0.0724,0.0789,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,555,0.1286,0.0781,0.0889,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,555,0.0429,0.08,0.0797,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,567,0.1571,0.0886,0.0952,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,567,0.0143,0.0867,0.079,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,567,0.1143,0.0876,0.086,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,569,0.2143,0.0933,0.1117,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,569,0.1857,0.0962,0.1265,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,569,0.1286,0.1019,0.1269,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,569,0.4,0.1257,0.1815,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,569,0.1143,0.1295,0.1681,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,569,0.2429,0.139,0.183,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,569,0.2,0.1457,0.1864,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,569,0.1286,0.1467,0.1749,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,569,0.2143,0.1552,0.1827,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,586,0.1143,0.16,0.1691,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,586,0.3143,0.1724,0.1981,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,586,0.2,0.1829,0.1985,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,586,0.1286,0.181,0.1845,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,586,0.2,0.1933,0.1876,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,586,0.1714,0.1971,0.1844,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,586,0.1714,0.1943,0.1818,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,586,0.1857,0.1943,0.1826,0.1752,0.0418,1,0,0
